codigo_materia_prima;descricao_materia_prima;consumo_mp_12_meses;consumo_mp_6_meses;consumo_mp_3_meses;media_12_meses;media_6_meses;media_3_meses;maior_media
813310;CILINDRO CHAVE PIVO;12079,0;4816,0;2603,0;1006,5833;802,6667;867,6667;1006,5833
813318;ARRUELA EM T;12044,0;4872,0;2993,0;1003,6667;812,0;997,6667;1003,6667
813316;PORCA DO FUSO 2 ENTRADAS PIVO (FÊMEA);12044,0;4872,0;2993,0;1003,6667;812,0;997,6667;1003,6667
813315;PORCA DO FUSO 2 ENTRADAS PIVO (MACHO);12044,0;4872,0;2993,0;1003,6667;812,0;997,6667;1003,6667
813317;MANCAL SUPERIOR DO PIVO;12024,0;4862,0;2993,0;1002,0;810,3333;997,6667;1002,0
813311;CHAVE PIVO;12019,0;4816,0;2603,0;1001,5833;802,6667;867,6667;1001,5833
813319;TRAVA MAIOR SUPORTE FX PIVO - ZINCADO;11991,0;4802,0;2595,0;999,25;800,3333;865,0;999,25
813320;TRAVA MENOR SUPORTE FX PIVO - ZINCADO;11991,0;4802,0;2595,0;999,25;800,3333;865,0;999,25
501043;GRAXA BRANCA UNILIT NAUTIX SACHE;6380,0;4852,0;2993,0;531,6667;808,6667;997,6667;997,6667
412161;ROTOR AGL BV/PIVO P33 1/4 cv 04;11759,0;5150,0;2430,0;979,9167;858,3333;810,0;979,9167
103130;CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L180 BOX (BLK-PH-3P L180);10981,0;4205,0;1558,0;915,0833;700,8333;519,3333;915,0833
813508;SUPORTE DO ENCODER INDUSTRIAL/DZ 300 SEM TAMPA;10929,0;4205,0;1558,0;910,75;700,8333;519,3333;910,75
813509;TAMPA DO ENCODER INDUSTRIAL/DZ 300;10929,0;4205,0;1558,0;910,75;700,8333;519,3333;910,75
101553;SENSOR EFEITO HALL AH3781-P-B 0,30W HALL LATCH SWITCH SIP-3 BULK (AH3781-P-B);10557,0;4100,0;1502,0;879,75;683,3333;500,6667;879,75
813529;DISCO DO ENCODER DZ (LADO FÊMEA);10505,0;4100,0;1502,0;875,4167;683,3333;500,6667;875,4167
813528;DISCO DO ENCODER DZ (LADO MACHO);10505,0;4100,0;1502,0;875,4167;683,3333;500,6667;875,4167
813101;CREMALHEIRA PERFIL AÇO GOMO DE ALUMÍNIO 1,5M;9552,0;2310,0;634,0;796,0;385,0;211,3333;796,0
813396;PERFIL AL 0,75M SOL 7 STLF-0864 6063;9342,0;3814,0;2142,0;778,5;635,6667;714,0;778,5
813459;TUBO DE INOX CORTADO PARA PIVO 0,75M;9332,0;3814,0;2142,0;777,6667;635,6667;714,0;777,6667
813182;FUSO P 7.5MM DE 0,75M E 2 ENTRADAS PIVO;9332,0;3814,0;2142,0;777,6667;635,6667;714,0;777,6667
411048;TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO;9267,94;4035,86;2060,48;772,3283;672,6433;686,8267;772,3283
813253;SEM FIM DE 1 ENTRADA AÇO;9171,0;4092,0;1599,0;764,25;682,0;533,0;764,25
412150;ESTATOR BOBINADO AGL BV/NEW BV/PIVO P33 1/4 cv 04 42z 220V 60Hz;8669,0;4153,0;2286,0;722,4167;692,1667;762,0;762,0
701164;PINO TRAVA PIVO - BRUTO;4473,0;2946,0;2246,0;372,75;491,0;748,6667;748,6667
205016;TUBO EM AÇO COM DIÂMETRO DE 20MM DE AÇO COMUM - SIZE OD*ID (MM) - 20.5*13 ASTM A106 GR.B;8932,6474;3357,4423;1574,441;744,3873;559,5737;524,8137;744,3873
813306;SUPORTE ORELHA DO NEW BV;8566,0;3851,0;2198,0;713,8333;641,8333;732,6667;732,6667
103153;CABO CONECTOR TERMINAL WHITE WIRE BLK-4P 1050/650 BOX (BLK-4P 1050/650);8788,0;4242,0;1650,0;732,3333;707,0;550,0;732,3333
813599;SENSOR DE FIM DE CURSO REED BV/NEW BV/PIVO 0,75M;4788,0;3814,0;2142,0;399,0;635,6667;714,0;714,0
811775;CAIXA MOTOR BASCULANTE NOVA 23,0 X 16,0 X 24,5;8501,0;4059,0;1820,0;708,4167;676,5;606,6667;708,4167
