Código;Descrição;CódigoMP;Descrição MP;QTD MP;Tipo;Coluna1;OBS
2001086;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ SEM CREMALHEIRA EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001086;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001089;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ SEM CREMALHEIRA EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001089;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001090;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ SEM CREMALHEIRA EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001090;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001091;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ SEM CREMALHEIRA EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001091;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001092;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALHEIRA EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001092;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001093;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ SEM CREMALHEIRA EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001093;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001094;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001094;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001096;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ PANTHER EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001096;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ PANTHER EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001098;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ COM B. ALUM. PANTHER EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001098;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ COM B. ALUM. PANTHER EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001160;CONJ. MOVIMENTADOR TRINO SOFT 220V 50-60Hz SEM CREMALHEIRA;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001160;CONJ. MOVIMENTADOR TRINO SOFT 220V 50-60Hz SEM CREMALHEIRA;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001166;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001166;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001167;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001167;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001170;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001170;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001171;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ COM  B. ALUMINIUM;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001171;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001172;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ COM  B. ALUMINIUM;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001172;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001173;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ COM  B. ALUMINIUM;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001173;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ COM  B. ALUMINIUM;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001174;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ COM B. ALUMINIUM;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
