"codigo","descricao","06/2025","07/2025","08/2025","09/2025","10/2025","11/2025","12/2025","01/2026","02/2026","03/2026","04/2026","05/2026","m_06/2025","m_07/2025","m_08/2025","m_09/2025","m_10/2025","m_11/2025","m_12/2025","m_01/2026","m_02/2026","m_03/2026","m_04/2026","m_05/2026","consumo_total_12_meses","media_diaria_12_meses"
"103064","CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P)",6820,6605,7795,6892,8648,5960,4952,9490,6029,6891,4996,3072,227,213,251,230,279,199,160,306,215,222,167,99,78150,214
"412183","MOTOR 4 POLOS 127V POLIA Ø20mm P/ LAV. ALTA CAPACIDADE COM PÉ",0,0,0,0,30,7140,14112,17640,3528,7056,17812,10080,0,0,0,0,1,238,455,569,126,228,594,325,77398,212
"811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR",2965,7726,3318,8466,4422,8990,6042,5296,7370,11354,5985,4820,99,249,107,282,143,300,195,171,263,366,200,155,76754,210
"401280","ABRAÇADEIRA UV PRETA 238X4,8",7308,7056,14112,15204,15461,7812,271,504,756,756,0,791,244,228,455,507,499,260,9,16,27,24,0,26,70031,192
"401121","ABRAÇADEIRA UV PRETA 202X3,7",7484,3788,5779,6339,6724,2273,3966,8466,6518,7517,6070,4092,249,122,186,211,217,76,128,273,233,242,202,132,69016,189
"401069","PARAFUSO 2 9X13MM A/A PAN PHS ZI",9136,2282,4426,7634,4938,6776,1962,7010,4144,7354,8976,3738,305,74,143,254,159,226,63,226,148,237,299,121,68376,187
"412377","MOTOR  4 POLOS 127V POLIA Ø20mm P/ LAV. ALTA CAPACIDADE",7056,10584,14112,14112,14112,7056,0,0,0,0,0,0,235,341,455,470,455,235,0,0,0,0,0,0,67032,184
"813498","POLIA DE ALUMINIO 19,63 ESTRIADA SUGGAR",7056,7056,14112,14448,14695,7056,0,100,524,0,100,0,235,228,455,482,474,235,0,3,19,0,3,0,65147,178
"813238","ARANHA SUP. DO DESLIZANTE FURO M5",7056,7057,14122,14451,14795,7057,0,0,0,0,0,0,235,228,456,482,477,235,0,0,0,0,0,0,64538,177
"813497","EIXO P24 Ø12,70 X 140,0  P/ TANQUINHO SUGGAR",7056,7056,14112,14448,14695,7056,0,0,0,0,0,0,235,228,455,482,474,235,0,0,0,0,0,0,64423,177
"101819","BATERIA DE LITHIUM CR2032 210mAH 3V TRAY (CR2032)",4817,4768,4814,4040,8614,2914,1409,5118,7161,6965,4825,5795,161,154,155,135,278,97,45,165,256,225,161,187,61240,168
"100226","MICROCONTROLADOR  ZY-AGL 433 - REMOTE  PCB - ZYAGL.",4817,4768,4814,4040,8614,2914,1409,5118,7160,6965,4825,5795,161,154,155,135,278,97,45,165,256,225,161,187,61239,168
"401024","PARAFUSO MQ PN HXL T25 TMA 5X35 PS BC",9072,0,0,8064,8064,0,2576,7056,8024,8064,0,8956,302,0,0,269,260,0,83,228,287,260,0,289,59876,164
"813522","CHAVETA QUADRADA 8MMX33,4MM",5052,4930,5990,4985,6870,4521,3494,7374,4940,5031,3877,1928,168,159,193,166,222,151,113,238,176,162,129,62,58992,162
"813014","LINGUETA DO CILINDRO DA ALAVANCA DE DESTRAVAMENTO MANUAL DZ ZI",4645,6003,5954,5314,5892,4556,3666,6414,4572,5073,4023,1953,155,194,192,177,190,152,118,207,163,164,134,63,58065,159
"813237","PINO DESTRAVAMENTO TRINO",4585,6069,5920,5215,5904,4527,3551,6209,4501,5038,4004,1842,153,196,191,174,190,151,115,200,161,163,133,59,57365,157
"403032","MOLA DE DESTRAVAMENTO DESLIZANTE",4588,6048,5884,5198,5896,4525,3541,6208,4488,5002,4004,1832,153,195,190,173,190,151,114,200,160,161,133,59,57214,157
"813009","ALAVANCA PARA DESTRAVAMENTO MANUAL",4570,5966,5907,5123,5832,4514,3642,6216,4519,5060,3950,1845,152,192,191,171,188,150,117,201,161,163,132,60,57144,157
