"codigo","descricao","06/2025","07/2025","08/2025","09/2025","10/2025","11/2025","12/2025","01/2026","02/2026","03/2026","04/2026","05/2026","m_06/2025","m_07/2025","m_08/2025","m_09/2025","m_10/2025","m_11/2025","m_12/2025","m_01/2026","m_02/2026","m_03/2026","m_04/2026","m_05/2026","consumo_total_12_meses","media_diaria_12_meses"
"813080","GOMO 25CM P/ CREMALHEIRA PLASTICO - PRETO",0,0,3300,15000,6660,6000,7101,11000,24,2400,2304,1,0,0,106,500,215,200,229,355,1,77,77,0,53790,147
"804123","BASE SUPERIOR COM LOGO DO CONTROLE REMOTO INTER. DIGI. DIGITAL KEY - PRETO",4017,4768,3744,3076,8916,2914,1409,5118,4865,3877,4825,5745,134,154,121,103,288,97,45,165,174,125,161,185,53274,146
"813015","FIM DE CURSO MECANICO - ZINCADO",8888,2252,4317,5218,3566,3850,1584,5758,2763,5044,6538,2555,296,73,139,174,115,128,51,186,99,163,218,82,52333,143
"816565","CREMALHEIRA PERFIL AÇO GOMO DE PLÁSTICO 0,25M",0,0,3288,9000,13116,6000,6600,9600,24,1848,2688,0,0,0,106,300,423,200,213,310,1,60,90,0,52164,143
"813251","SEM FIM DE UMA ENTRADA ALUMÍNIO TR LIGTH/ TR300/ TR500",4279,4207,5004,4911,5484,4381,3005,5849,4253,4567,3455,1800,143,136,161,164,177,146,97,189,152,147,115,58,51195,140
"811921","CAIXA PARDA MOTOR DESLIZANTE AGL ( MEIA ABA REFORÇADA)",3997,4843,5650,4348,4674,3972,3006,5398,4373,4548,3751,1816,133,156,182,145,151,132,97,174,156,147,125,59,50376,138
"101889","CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMLW CANECA PLASTICA 12uf 250V",5828,4119,5201,3672,5805,5085,2966,6869,2641,4116,2341,1716,194,133,168,122,187,170,96,222,94,133,78,55,50359,138
"811122","MANUAL P / AUTOMATIZADOR DZ/BV/NEW BV CENTRAL FLEX/LIGHT EM PORTUGUÊS",4478,2897,4985,2781,7011,3886,3452,7115,4144,5110,2344,1653,149,93,161,93,226,130,111,230,148,165,78,53,49856,137
"804542","BASE INFERIOR PP MOTORES DESLIZANTES",3655,2802,4951,4820,5434,4361,2955,5747,4251,4554,3065,1800,122,90,160,161,175,145,95,185,152,147,102,58,48395,133
"804540","BASE SUPERIOR PP DO MOTOR DESLIZANTE",3655,2702,4851,4760,5332,4261,2955,5617,4201,4554,3015,1800,122,87,156,159,172,142,95,181,150,147,100,58,47703,131
