Código,Descrição,Família,Consumo V.,Consumo P.,PR,Liberio,Estoque setor,Almoxarifado,Estoque total,Situação,Cobertura,LT,Necessidade,Nº BraZip,Data solic.,Qtd solic.,Fornecedor,Aplicação
813401,"PERFIL AL 4,01M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,-,-,,279,0,279,Fazer pedido,,,0,,,,,
813560,"PERFIL AL 3,5M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,30.75,55,,0,0,0,Fazer pedido,0 dias,,0,5884,2025-10-09 00:00:00,300,,
813562,"PERFIL AL 3,25M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,65.83333333333333,120,,0,0,0,Sob Demanda,0 dias,42.010439814810525,-42.010439814810525,,,,,
813559,"PERFIL AL 3,0M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,61.75,110,,0,0,0,Fazer pedido,0 dias,42.010439814810525,-42.010439814810525,5884,2025-10-09 00:00:00,300,,
813558,"PERFIL AL 2,5M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,16.833333333333332,30,,0,0,0,Fazer pedido,0 dias,42.010439814810525,-42.010439814810525,,,,,
813400,"PERFIL AL 2,0M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,65.5,115,,186,0,186,Estoque em dia,3 meses,4.843530092592118,80.34730960206439,,,,,
813399,"PERFIL AL 1,5M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,908.5833333333334,1595,,2564,0,2564,Estoque em dia,3 meses,29.62146990740439,55.03779818394662,,,,,
813398,"PERFIL AL 1,4M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,196.83333333333334,345,,968,0,968,Estoque em dia,5 meses,29.62146990740439,117.91451654475478,,,,,
813397,"PERFIL AL 1,0M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,124.83333333333333,220,,410,0,410,Estoque em dia,3 meses,4.843530092592118,93.68784507429709,5884,2025-10-09 00:00:00,500,,
813396,"PERFIL AL 0,75M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,817.3333333333334,1435,,1630,0,1630,Estoque em dia,60 dias,29.62146990740439,30.20724134871306,,,,,
813557,"PERFIL AL 0,5M - SOL 7 STLF-0864 6062",Perfil/ Tubo Inox,-,77.58333333333333,140,,0,0,0,Fazer pedido,0 dias,,0,,,,,
401108,PARAFUSO PLASTIC PAN PHS 5 X 25MM ZI,Parafusos Geral,-,46574.416666666664,81510,100000,150490,0,150490,Estoque em dia,3 meses,19.315150462964812,77.62004106743548,,,,,Fechametno da base de nylon do Dz
401163,PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI,Parafusos Geral,-,135066.5,236370,250000,247000,0,247000,Estoque em dia,55 dias,28.512364417987037,26.34949992291171,7082,2026-04-29 00:00:00,100000,,Montagem da cremalheira de plástico / Fechamento da tampa Dz base de nylon / Montagem da base de placa Bv e New Bv
401198,PARAFUSO PLASTIC PAN PHILLIPS 4 X 10 ZB - ZINCADO,Parafusos Geral,-,2346.6666666666665,4110,,7114,0,7114,Estoque em dia,3 meses,,0,,,,,
401157,PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 30MM T25,Parafusos Geral,-,4876.416666666667,8535,65000,3000,91500,94500,Estoque em dia,19 meses,46.00325810185192,535.366258448894,,,,,Montagem da aranha P17 e fechamento da base do STRONG (USAR ATÉ ACABAR E MANTER NA LISTA SOMENTE O CISER)
401162,PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25,Parafusos Geral,-,3266.5,5720,3000,0,16000,16000,Estoque em dia,5 meses,11.97326967592744,134.97300309309136,,,,,Montagem base de alumínio deslizante
123456,PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25 C/ ORING,Parafusos Geral,-,-,-,30000,0,0,0,Não compra,,,0,,,,,"Está sendo analisado não utilizar mas esse parafuso com oring, somente sem oring"
401161,PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25,Parafusos Geral,-,4472.833333333333,7830,40000,3400,0,3400,Fazer pedido,23 dias,35.24892278438919,-12.444585488864352,,,,,Fechamento da carcaça New Bv
401257,PARAFUSO PAN PHS MET RI M5X12 ZB,Parafusos Geral,-,-,-,200000,0,0,0,Não usa,,36.10548611111153,0,,,,,cremalheira de alumíno (parafusagem por máquina) - PEDIR MAIS QUANDO ABAIXAR O ESTOQUE DO 401007. obs: Consumir e alterar para 401248
401134,"PARAFUSO PAN CRUZ 3,5MMX27MM (FABR. AGL) - ZINCADO (PROD)",Parafusos Geral,-,1680.3333333333333,2945,0,32340,0,32340,Estoque em dia,19 meses,,0,,,,,
401051,PARAFUSO PA ALLEN M6 x 20,Parafusos Geral,-,327.6666666666667,575,400,1100,0,1100,Estoque em dia,3 meses,30.230086162552148,70.48201963602364,,,,,suporte da barreira 
401072,PARAFUSO PA ALLEN M6 x 16,Parafusos Geral,-,-,-,0,0,0,0,Não usa,,,0,,,,,usar até acabar ) - substituído por 401254
401254,PARAFUSO PA ALLEN  M6 x 12,Parafusos Geral,-,655.3333333333334,1150,800,1000,0,1000,Fazer pedido,46 dias,29.05404128086472,16.724188627578823,,,,,ACABAR COM M6X16
401115,PARAFUSO MQ UNC SXT RI 1/4 X 1.1/4 - ZI,Parafusos Geral,-,8155,14275,40000,20000,0,20000,Estoque em dia,2 meses,18.204178240741992,55.37031593461056,,,,,Kit fixação Bv (ALTERAÇÃO PROGRAMADA PARA 1/4 X 7/8)
401164,PARAFUSO MQ UNC SX RI 1/4 X 1/2 ZI,Parafusos Geral,-,10029.5,17555,35000,19400,0,19400,Estoque em dia,58 dias,22.4419328703703,35.5868821253922,,,,,"Não usará mais, troca do batente"
401260,PARAFUSO MQ PN HXL T25 TMA 5X45 PS 30 ZB (ROSCA COMPLETA),Parafusos Geral,-,3946.5,6910,11000,4000,0,4000,Fazer pedido,30 dias,34.63366126543284,-4.2269717937490725,5751,2025-09-19 00:00:00,7000,,utilizado no eixo dz estampado (300 kg para baixo com excessão dos speeds) - 1 un/ motor
401160,PARAFUSO MQ HXL M5 X 16MM RI T25 ZBR,Parafusos Geral,-,10670.833333333334,18675,20000,0,84549,84549,Estoque em dia,8 meses,18.90134093915237,218.79986952550988,,,,,Fechamento da carcaça Bv e BV CADENA
401095,PARAFUSO MET SXT RI M6-1.00MA X 20 ZI,Parafusos Geral,-,9169,16050,30400,5200,0,5200,Fazer pedido,17 dias,25.818190586418496,-8.804339566678067,,,,,Kit fixação Bv / Montagem do mancal Pivo
401190,PARAFUSO MET SX RI M10 X 100MM ZI,Parafusos Geral,-,95.33333333333333,170,100,400,0,400,Estoque em dia,4 meses,37.655123456788715,88.21900241733717,,,,,USADO NOS MOTORES CADENA E CANCELA
401248,PARAFUSO MAQ PAN PHILLIPS MA 5X10,Parafusos Geral,-,8.416666666666666,15,,0,1000,1000,Não usa,119 meses,12.948263888887595,3551.408171754677,,,,,Máquina de Cremalheira
401156,PARAFUSO MAD SX 1/4 X 70MM ZI,Parafusos Geral,-,20320.666666666668,35565,56000,45200,0,45200,Estoque em dia,2 meses,24.98092399691571,41.749170160100135,7082,2026-04-29 00:00:00,40000,,Kit fixação Dz
401039,PARAFUSO FRANCES 5/16-18 X 1 UNC FE.ZB,Parafusos Geral,-,0.5,5,80,0,0,0,Fazer pedido,0 dias,22.896388888890215,-22.896388888890215,,,,,Cancela Agusta Light (pegar na Fechaduras)
401232,PARAFUSO FRANCES 5/16 X 3/4 ZI C/ PORCA,Parafusos Geral,-,88.66666666666667,160,1200,900,0,900,Estoque em dia,10 meses,10.125960648147156,294.3853175473416,,,,,Base regulável dz
401233,PARAFUSO FRANCES 5/16 X 2 ZI C/ PORCA,Parafusos Geral,-,88.66666666666667,160,800,950,0,950,Estoque em dia,11 meses,40.874296874997526,280.55427455357386,,,,,Base regulável DZ
401283,"PARAFUSO CAB FRANCESA C/ PORCA 1/4 X 2"" ZI",Parafusos Geral,-,53,95,500,600,0,600,Estoque em dia,11 meses,25.411454475305316,314.2111870341286,,,,,4 unidades por Acionamento Cadena (kit)
401227,"PARAFUSO CAB FRANCESA 1/4 X 5/8"" ZI",Parafusos Geral,-,79.5,140,1000,1000,0,1000,Estoque em dia,13 meses,43.915212191355145,333.4432783746826,,,,,Kit Acionamento CADENA
401228,PARAFUSO ALLEN RI M3X16 ZI,Parafusos Geral,-,55.333333333333336,100,0,2000,0,2000,Estoque em dia,36 meses,,0,,,,,Acabar com o que tem no Cadena e parar de usas
401301,PARAFUSO ALLEN CABEÇA CILINDRICA M8 X 16 ZI,Parafusos Geral,,-,-,,700,0,700,Fazer pedido,,38.079259259255196,0,,,,,
401194,PARAFUSO ALLEN C/CAB MA 8 X 50 ZB,Parafusos Geral,,105,185,,0,0,0,Fazer pedido,0 dias,2.9274016203708015,-2.9274016203708015,,,,,
