Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,541,-14115,-19815,-20619,-31326,-36963,-41685,-43306,-43366,-43366.1,-131001.70370370311,-306275.1111111119,Unnamed: 16,194247,87635.70370370302,262909.11111111066,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Departamento,,Descrição,Seção,,,,,,,,,,,Estoque mínimo,Estoque Máximo,Curva,,Estoque min,Estoque max,,,,,,,,Carteira
FECHADURAS,1011038,FECHADURA ELETRÔNICA AGL ULTRA PRETA - AJUST. CH. E-CODE F.ESP.,FECHADURA ULTRA,40,-75,-75,-75,-75,-75,-75,-75,-75,-75,-78,-84,C,0,3,9,0,0,0,0,0,0,,0x17
FECHADURAS,1001551,FECHADURA AGL- AL100 - 12V PRETA - 42MM A.INT. CH.TETRA. F.CONV. C/BOTÃO,FECHADURA AGL - AL100,60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-61,-62,C,0,1,2,0,0,0,0,0,0,,
FECHADURAS,1011087,"FECHADURA ELETR. AGL ULTRA MAGIC CARD BRANCA MIFARE 13,56 MHz - 42MM CH.SIMP. F.",FECHADURA ULTRA,0,-58,-58,-58,-58,-58,-58,-58,-58,-58,-90,-154,C,2,32,96,0,0,0,0,0,0,,
FECHADURAS,1002010,FECHADURA AGL- AL100R - 12V CINZA - 42MM CH.TETRA. F.ESP.,FECHADURA AGL - AL100R,0,-54,-54,-54,-54,-54,-54,-54,-54,-54,-73,-110,B,1,19,56,0,0,0,0,0,0,,0x17
FECHADURAS,1002005,FECHADURA AGL- AL100R - 110V PRETA - 42MM CH.TETRA. F.ESP.,FECHADURA AGL - AL100R,53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-58,-67,C,0,5,14,0,0,0,0,0,0,,0x17
CANCELAS,1015548,SUPORTE COMPLETO DE FIXAÇÃO PARA BARREIRA AGUSTA CINZA,REPOSIÇÃO E DIVERSOS -CANCELAS,0,-53,-53,-53,-53,-53,-53,-53,-53,-53,-56,-62,C,17,3,9,0,0,0,0,0,0,,0x17
EXPEDIÇÃO,2030052,CONJUNTO DE MOTOR TANQU. COMPAT. LATINA P24 110V 60HZ,CONJUNTO DE MOTORES,0,-50,-50,-50,-50,-50,-50,-270,-270,-270,-270,-270,C,0,0,0,0,0,0,0,0,0,,0x17
EXPEDIÇÃO,2030053,CONJUNTO DE MOTOR TANQU. COMPAT. LATINA P24 220V 60HZ,CONJUNTO DE MOTORES,0,-50,-50,-50,-50,-50,-50,-160,-160,-160,-160,-160,C,0,0,0,0,0,0,0,0,0,,0x17
INTERFONIA ,1106026,CONTROLE DE ACESSO CA1020 TOUCH BIO BLUETOOTH,IMPORTADOS,0,-50,-50,-50,-50,-50,-50,-50,-50,-50,-75,-125,A,0,25,75,0,0,0,0,0,0,,0x17
FECHADURAS,1004358,FECHADURA SP-LOCK- MINI - 12V CINZA - 42MM A.INT . CH.TETRA. F.CONV.,FECHADURA AGL-MINI,0,-50,-50,-50,-50,-50,-50,-50,-50,-50,-83,-150,B,0,33,100,0,0,0,0,0,0,,0x17
