,Departamento,Unnamed: 1,DescriÃ§Ã£o,SeÃ§Ã£o,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mÃ­nimo,Estoque MÃ¡ximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
218,MOTORES,2005037,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC300 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,0,0,0,-1,-1,-1,-1,-1,-1,-32,-93,A,18,31,92,0,0,0,0,0,0,,0x17
220,MOTORES,2005043,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC1000 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,0,0,0,-1,-1,-1,-1,-1,-1,-3,-6,B,10,2,5,0,0,0,0,0,0,,0x17
222,MOTORES,2009014,CONJ. MOVIMENTADOR TRINO PIVO 3 220V SEM ACIONAMENTO E SEM CENTRAL EX,PIVOTANTES SIMPLES,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,C,0,0,0,0,0,0,0,0,0,,
223,MOTORES,2001300,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1500KG 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-3,C,0,1,2,0,0,0,0,0,0,,0x17
225,MOTORES,2009509,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÃ 0,75M",ACIONAMENTOS DE MOTORES,0,0,0,0,0,-298,-330,-330,-330,-330,-542,-966,C,760,212,636,0,0,0,0,0,0,,0x17
230,MOTORES,2007091,CONJUNTO MOVIMENTADOR TRINO PIVÃ 4 127V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,0,0,0,0,-95,-105,-105,-105,-105,-114,-133,C,114,9,28,0,0,0,0,0,0,,
231,MOTORES,2007093,CONJUNTO MOVIMENTADOR TRINO PIVÃ 4 220V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,0,0,0,0,-93,-99,-99,-99,-99,-109,-128,C,129,10,29,0,0,0,0,0,0,,0x17
232,MOTORES,2009510,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÃ 1,0M",ACIONAMENTOS DE MOTORES,0,0,0,0,0,-92,-92,-92,-92,-92,-129,-204,C,210,37,112,0,0,0,0,0,0,,0x17
233,MOTORES,2008501,"ACIONAMENTO MOVIMENTADOR TRINO BV 1,5M",ACIONAMENTOS DE MOTORES,0,0,0,0,0,-90,-90,-93,-93,-93,-281,-658,A,113,188,565,0,0,0,0,0,0,,0x17
234,MOTORES,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,BASCULANTE BV,0,0,0,0,0,-78,-78,-78,-78,-78,-179,-381,A,101,101,303,0,0,0,0,0,0,,0x17
251,MOTORES,2010226,CREMALHEIRA P/ MOTOR INDUSTRIAL STRONG 2000KG 1M NYLON,BARRA DENTADA,0,0,0,0,0,-12,-12,-12,-12,-12,-60,-156,B,110,48,144,0,0,0,0,0,0,,0x17
255,MOTORES,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,0,-10,-10,-10,-10,-10,-28,-63,A,17,18,53,0,0,0,0,0,0,,0x17
262,MOTORES,2006079,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV4 220V SEM ACIONAMENTO,MOTORES NEW BV,0,0,0,0,0,-3,-3,-6,-6,-6,-29,-75,B,16,23,69,0,0,0,0,0,0,,0x17
270,MOTORES,2009511,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÃ 1,5M",ACIONAMENTOS DE MOTORES,0,0,0,0,0,-1,-1,-1,-1,-1,-15,-43,C,76,14,42,0,0,0,0,0,0,,0x17
273,MOTORES,2010437,CHAVE DE DESTRAVAMENTO NYLON NOVA PARA TRINO 300 / LIGHT AGL,REPOSIÃÃO E DIVERSOS -MOTOR,0,0,0,0,0,0,-7,-10,-10,-10,-12,-17,C,36,2,7,0,0,0,0,0,0,,0x17
285,MOTORES,2006152,CONJ. MOVIMENTADOR INTELIGENTE - IZZY DZ INDUSTRIAL STRONG 1000KG 127V 50-60HZ C/ CREM 3MT DOOR LINE,DESLIZANTE INTELIGENTE IZZY,0,0,0,0,0,0,0,-500,-500,-500,-500,-500,C,0,0,0,0,0,0,0,0,0,,
286,MOTORES,2006151,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 127V 50-60HZ C/ CREMALHEIRA 3MT DOOR LINE AUTOMATIC EX,DESLIZANTE INTELIGENTE IZZY,0,0,0,0,0,0,0,-500,-500,-500,-500,-500,C,0,0,0,0,0,0,0,0,0,,
287,MOTORES,2006053,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 127V 50-60HZ SEM CREMALHEIRA,DESLIZANTE INTELIGENTE IZZY,0,0,0,0,0,0,0,-396,-396,-396,-910,-1938,A,692,514,1542,0,0,0,0,0,0,,0x17
293,MOTORES,2001137,CREMALHEIRA RESIDENCIAL 1 METRO GOMO ALUM MOD 4 EX,BARRA DENTADA,0,0,0,0,0,0,0,-200,-200,-200,-200,-200,C,800,0,0,0,0,0,0,0,0,,0x17
308,MOTORES,2007036,"CONJUNTO MOVIMENTADOR TRINO PIVÃ 3 220V - 0,75M - DUPLO EX",PIVOTANTES DUPLOS,0,0,0,0,0,0,0,-10,-10,-10,-10,-10,C,0,0,0,0,0,0,0,0,0,,0x17
313,MOTORES,2001207,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/4 FREQUENCY INVERTER BIVOLT 50-60HZ ALUMINIUM - SEM CRE,DESLIZANTE TRINO,0,0,0,0,0,0,0,-3,-3,-3,-22,-59,A,19,19,56,0,0,0,0,0,0,,0x17
316,MOTORES,2010155,ENGRENAGEM INTERNA BV/ PIVO AGL ZAMAC,REPOSIÃÃO E DIVERSOS -MOTOR,0,0,0,0,0,0,0,-1,-3,-3,-79,-231,C,146,76,228,0,0,0,0,0,0,,0x17
317,MOTORES,2001135,CREMALHEIRA RESIDENCIAL 1 METRO GOMO PLÃSTICO MOD 4 EX,BARRA DENTADA,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,C,499,0,0,0,0,0,0,0,0,,0x17
318,MOTORES,2010225,ESTATOR E ROTOR P17 220V MONO 60HZ DESLIZANTE - REPOSIÃÃO,REPOSIÃÃO E DIVERSOS -MOTOR,0,0,0,0,0,0,0,-1,-1,-1,-2,-3,C,1,1,2,0,0,0,0,0,0,,0x17
319,MOTORES,2010221,ENGRENAGEM 24Z DO BASCULANTE ZAMAC EX,REPOSIÃÃO E DIVERSOS -MOTOR,0,0,0,0,0,0,0,0,-50,-50,-50,-50,C,0,0,0,0,0,0,0,0,0,,0x17
320,MOTORES,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,BASCULANTE BV,0,0,0,0,0,0,0,0,0,-259,-516,-1031,A,376,257,772,0,0,0,0,0,0,,0x17
321,MOTORES,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,0,0,0,0,0,0,0,-137,-1208,-3351,A,2531,1071,3214,0,0,0,0,0,0,,
