Unnamed: 0,Unnamed: 1,TOTAL,12,-149,-1453,-2710,-8179,-14410,-14804,-24001,-38015,-44157,-61460,-96075,Unnamed: 15,Unnamed: 16,Unnamed: 17
2030066,ESTATOR E ROTOR P33 220V 60HZ MONTADO PARA TRINO 700/IZZY 700,REPOSIÇÃO E DIVERSOS -MOTOR,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,PROGRAMADO,,
2010142,EIXO DESLIZANTE COMPLETO 02 ENTRADAS,REPOSIÇÃO E DIVERSOS -MOTOR,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-9,PROGRAMADO,,
2010312,SEM FIM DE 2 ENTRADAS PARA TRINO SPEED 300/500,REPOSIÇÃO E DIVERSOS -MOTOR,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-5,PROGRAMADO,,
2010209,ANEL ELÁSTICO RS7,REPOSIÇÃO E DIVERSOS -MOTOR,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,PROGRAMADO,,
2008501,"ACIONAMENTO MOVIMENTADOR TRINO BV 1,5M",ACIONAMENTOS DE MOTORES,,,-499,-506,-538,-620,-675,-783,-923,-953,-1141,-1518,,,
2008527,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 1,5M",ACIONAMENTOS DE MOTORES,,,-425,-620,-790,-846,-871,-1056,-1131,-1161,-1564,-2371,,,
2001344,CONJ. MOVIMENTADOR TRINO 300 127V LIGHT 50-60HZ LOG,DESLIZANTE LOG,,,-75,-75,-75,-75,-75,-75,-225,-225,-279,-386,ENTREGUE HOJE,,
2008033,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO,MOTORES NEW BV,,,-57,-82,-172,-180,-180,-192,-199,-199,-264,-395,,,
2006094,CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 127V SEM ACIONAMENTO,MOTORES NEW BV,,,-36,-44,-44,-44,-44,-63,-77,-83,-96,-122,,,
2008028,CONJ. MOVIMENTADOR TRINO NEW BV3 127V SEM ACIONAMENTO,MOTORES NEW BV,,,-34,-34,-34,-34,-34,-54,-74,-74,-95,-136,,,
2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,BASCULANTE BV,,,-28,-36,-58,-64,-128,-156,-230,-250,-351,-553,,,
2006059,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 SPEED 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE INTELIGENTE IZZY,,,-20,-21,-37,-37,-47,-57,-57,-57,-76,-115,ENTREGUE HOJE,,
2008515,"ACIONAMENTO MOVIMENTADOR TRINO BV SPEED 1,75M",ACIONAMENTOS DE MOTORES,,,-20,-20,-20,-20,-20,-20,-20,-20,-22,-25,,,
2008534,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 1,5M FUSO Ø 5/8 P/ NEW BV TURBO",ACIONAMENTOS DE MOTORES,,,-15,-15,-19,-24,-24,-32,-38,-38,-97,-216,,,
2007088,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO,PIVOTANTES SIMPLES,,,-9,-26,-55,-75,-75,-112,-143,-157,-170,-195,,,
2001221,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,,,-6,-8,-8,-8,-9,-11,-13,-13,-22,-39,PROGRAMADO,Aguardando estator,
2001207,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/4 FREQUENCY INVERTER BIVOLT 50-60HZ ALUMINIUM - SEM CRE,DESLIZANTE TRINO,,,-4,-4,-24,-24,-24,-27,-30,-30,-49,-86,PROGRAMADO,,
2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,,,-3,-6,-9,-19,-19,-20,-30,-40,-58,-93,PROGRAMADO,,
2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,,,-2,-39,-47,-127,-127,-164,-279,-379,-402,-448,,,
2003071,"KIT 90 UND INTER. DIGI. DIGITAL KEY 6P20 433,92 2 CANAIS BRANCO COM BOTÃO BRANCO",CONTROLES,,,-2,-5,-5,-5,-5,-9,-13,-13,-13,-13,,,
2013509,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 6,0M",ACIONAMENTOS DE MOTORES,,,-2,-2,-2,-4,-4,-4,-6,-8,-10,-13,,,
2006143,CONJ. MOVIMENTADOR INTELIGENTE - IZZY SPEED TURBO PRO 1/2 FREQUENCY INVERTER 50-60HZ B. ALUMI S. CRE,DESLIZANTE INTELIGENTE IZZY,,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,ENTREGUE AMANHA,,
2001189,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM,DESLIZANTE TRINO,2,,-2,-2,-2,-2,-2,-2,-2,-2,-6,-15,PROGRAMADO,,
2003070,"KIT 90 UND INTER. DIGI. DIGITAL KEY 6P20 433,92 2 CANAIS BRANCO COM BOTÃO PRETO",CONTROLES,,,-1,-4,-4,-4,-4,-8,-12,-12,-12,-12,,,
2001040,CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,,,-1,-1,-7,-7,-7,-7,-7,-7,-25,-60,PROGRAMADO,,
2008502,"ACIONAMENTO MOVIMENTADOR TRINO BV 2,0M",ACIONAMENTOS DE MOTORES,,,-1,-1,-3,-3,-3,-3,-3,-3,-16,-42,,,
2006063,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 900 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE INTELIGENTE IZZY,,,-1,-1,-1,-1,-1,-4,-7,-7,-13,-24,ENTREGUE AMANHA,,
2008505,"ACIONAMENTO MOVIMENTADOR TRINO BV 3,5M",ACIONAMENTOS DE MOTORES,,,-1,-1,-1,-1,-1,-3,-5,-5,-6,-8,,,
2008504,"ACIONAMENTO MOVIMENTADOR TRINO BV 3,0M",ACIONAMENTOS DE MOTORES,,,-1,-1,-1,-1,-1,-2,-3,-3,-5,-8,,,
2008503,"ACIONAMENTO MOVIMENTADOR TRINO BV 2,5M",ACIONAMENTOS DE MOTORES,,,-1,-1,-1,-1,-1,-2,-3,-3,-5,-9,,,
2008541,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 1,75M FUSO Ø 5/8 P/ BV TURBO",ACIONAMENTOS DE MOTORES,,,-1,-1,-1,-1,-1,-1,-1,-1,-2,-4,,,
