81236,45967,46037.6901388889,Finalizada,2010114,"SENSOR DE FIM DE CURSO REED DO BASCULANTE/PIVO 1,5M",MOTORES,111.0,111.0
81237,45967,46037.6902314815,Finalizada,2010438,ENGRENAGEM INTERNA DO PIVO/BV AGL NYLON Ø20MM,MOTORES,16.0,16.0
81239,45967,46037.6903240741,Finalizada,2010407,CUPILHA CONTRA PINO 3/16 x 1.1/4,MOTORES,5.0,5.0
81240,45967,46037.6904398148,Finalizada,2010250,PINO DE DESTRAVAMENTO MANUAL BV,MOTORES,11.0,11.0
81241,45967,46037.6904861111,Finalizada,2010263,TAMPA DO MOTOR INDUSTRIAL STRONG 2000,MOTORES,3.0,3.0
81249,45967,46010.6116782407,Finalizada,2001161,CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA,MOTORES,100.0,100.0
81252,45967,45973.357025463,Finalizada,2009002,CONJ. MOVIMENTADOR TRINO PIVO 3 220V SEM ACIONAMENTO E SEM CENTRAL,MOTORES,1.0,1.0
81253,45967,45973.3572222222,Finalizada,2007086,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO,MOTORES,24.0,24.0
81254,45967,45973.357349537,Finalizada,2007088,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO,MOTORES,22.0,22.0
81255,45967,45971.3375810185,Finalizada,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,MOTORES,5.0,5.0
81257,45967,45972.4581944444,Finalizada,2003010,"INTER. DIGI. DIGITAL KEY 6P20 433,92 PRETO COM BOTÃO PRETO AGL",MOTORES,150.0,150.0
81259,45967,45975.3773611111,Finalizada,2008001,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO,MOTORES,40.0,40.0
81260,45967,45975.3760300926,Finalizada,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,MOTORES,20.0,20.0
81261,45967,45975.3775231481,Finalizada,2008003,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO,MOTORES,10.0,10.0
81262,45967,45972.4571875,Finalizada,2008040,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO - CONDOMINIAL 100,MOTORES,2.0,2.0
81265,45967,46000.4269212963,Finalizada,1015510,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 4,5m",MOTORES,2.0,2.0
81266,45967,46037.6905787037,Finalizada,2013505,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 4,0M",MOTORES,3.0,3.0
81267,45967,45972.3801967593,Finalizada,2008514,"ACIONAMENTO MOVIMENTADOR TRINO BV 1,75M",MOTORES,10.0,10.0
81268,45967,45979.7122453704,Finalizada,2013504,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,5M",MOTORES,10.0,10.0
81269,45967,45972.3804861111,Finalizada,2009511,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 1,5M",MOTORES,50.0,50.0
81270,45967,45972.3809606481,Finalizada,2013503,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,0M",MOTORES,10.0,10.0
81271,45967,45980.4997106481,Finalizada,2009509,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 0,75M",MOTORES,300.0,300.0
81272,45967,46037.6906365741,Finalizada,2010324,CREMALHEIRA P/ MOTOR INDUSTRIAL STRONG 2000KG 1M GOMO ALUMÍNIO,MOTORES,100.0,100.0
81276,45967,45967.4899421296,Finalizada,813598,"SENSOR DE FIM DE CURSO REED BV/NEW BV/PIVO 0,50M",MOTORES,146.0,146.0
81278,45967,45967.489849537,Finalizada,813455,SENSOR DE FIM DE CURSO REED DESLIZANTE,MOTORES,200.0,200.0
81279,45967,45988.5181134259,Finalizada,813601,"SENSOR DE FIM DE CURSO REED BV/NEW BV/PIVO 1,5M",MOTORES,600.0,596.0
81300,45967,46037.6906944444,Finalizada,2010156,SENSOR DE FIM DE CURSO REED DESLIZANTE,MOTORES,172.0,172.0
81301,45967,46037.6907523148,Finalizada,2010039,TAMPA PRETA PARA MOTOR AGL CONVENCIONAL,MOTORES,12.0,12.0
81302,45967,46037.6908217593,Finalizada,2010364,KIT INSTALAÇÃO PIVÔ,MOTORES,2.0,2.0
81303,45967,46037.6909027778,Finalizada,2010014,CRUZETA DO MANCAL,MOTORES,1.0,1.0
81304,45967,46037.6910532407,Finalizada,2010038,CABO DO ENCODER COMPLETO LINHA DESLIZANTE,MOTORES,1.0,1.0
81305,45967,46037.691099537,Finalizada,2010437,CHAVE DE DESTRAVAMENTO NYLON NOVA PARA TRINO 300 / LIGHT AGL,MOTORES,1.0,1.0
81306,45967,46037.6911689815,Finalizada,2010139,TAMPA DA VENTOINHA - BV,MOTORES,2.0,2.0
81307,45967,46037.6912268518,Finalizada,2010438,ENGRENAGEM INTERNA DO PIVO/BV AGL NYLON Ø20MM,MOTORES,10.0,10.0
81308,45967,45978.3283796296,Finalizada,2010407,CUPILHA CONTRA PINO 3/16 x 1.1/4,MOTORES,5.0,10.0
81309,45967,46037.6912962963,Finalizada,2010250,PINO DE DESTRAVAMENTO MANUAL BV,MOTORES,5.0,5.0
81310,45967,45971.3517939815,Finalizada,2001161,CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA,MOTORES,200.0,200.0
81311,45967,45974.3149189815,Finalizada,2001233,CONJ. MOVIMENTADOR TRINO 300 127V Light 50-60HZ SEM CREMALHEIRA,MOTORES,100.0,100.0
81329,45967,45972.4555787037,Finalizada,2001161,CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA,MOTORES,200.0,200.0
81335,45967,46037.691412037,Finalizada,1015547,"BARREIRA CANCELA AGUSTA BRUSHLESS SEM LOGO DC COM LED - 4,0m",MOTORES,1.0,1.0
81339,45968,45968.4535763889,Finalizada,2009001,CONJ. MOVIMENTADOR TRINO PIVO 3 127V SEM ACIONAMENTO E SEM CENTRAL,MOTORES,2.0,2.0
81340,45968,45978.3797222222,Finalizada,1015001,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 1,2S - ATÉ 4,0M CINZA",MOTORES,12.0,12.0
81341,45968,46037.6914699074,Finalizada,1015002,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 2,5S - 4,5M a 6M CINZA",MOTORES,10.0,10.0
81342,45968,45975.3778356481,Finalizada,2008003,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO,MOTORES,50.0,50.0
81343,45968,46037.6915509259,Finalizada,2010324,CREMALHEIRA P/ MOTOR INDUSTRIAL STRONG 2000KG 1M GOMO ALUMÍNIO,MOTORES,10.0,10.0
81344,45968,46037.6916087963,Finalizada,1015561,"BARREIRA ARTICULADA CANCELA AGUSTA BRUSHLESS SEM LOGO DC COM LED - 3,0m",MOTORES,2.0,2.0
81345,45968,45979.373900463,Finalizada,1015504,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 4,0m",MOTORES,4.0,4.0
81346,45968,45972.3481018519,Finalizada,1015502,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m",MOTORES,2.0,2.0
81347,45968,45968.4413773148,Finalizada,2010429,CAIXA DE PROTEÇÃO DA CENTRAL NEW PIVO,MOTORES,1.0,1.0
81351,45968,45968.4415509259,Finalizada,813563,"PERFIL AL 1,75M SOL 7 STLF-0864 6063",MOTORES,10.0,10.0
81353,45968,45968.4416319444,Finalizada,813557,"PERFIL AL 0,50M SOL 7 STLF-0864 6063",MOTORES,15.0,15.0
81354,45968,45968.441712963,Finalizada,813560,"PERFIL AL 3,5M SOL 7 STLF-0864 6063",MOTORES,10.0,10.0
81355,45968,45968.4417824074,Finalizada,813559,"PERFIL AL 3,0M SOL 7 STLF-0864 6063",MOTORES,10.0,10.0
81356,45968,45968.4418865741,Finalizada,813397,"PERFIL AL 1,0M SOL 7 STLF-0864 6063",MOTORES,10.0,10.0
81359,45968,45968.4419791667,Finalizada,813601,"SENSOR DE FIM DE CURSO REED BV/NEW BV/PIVO 1,5M",MOTORES,164.0,164.0
