chave,coluna_1,coluna_2,coluna_3,coluna_4,coluna_5,coluna_6,coluna_7,coluna_8,coluna_9,coluna_10
Bobinagem,412156,ESTATOR BOBINADO AGL DESL P22 2P 127V 60HZ,UNIDADE,UN,,2229,0,0,0,0
Bobinagem,412080,ESTATOR BOBINADO AGL DESL P22 2P 220V 60HZ,UNIDADE,UN,,586,0,0,0,0
Bobinagem,412152,ESTATOR BOBINADO AGL DESL P24 1/4 CV 4P 3F 110V 60HZ,UNIDADE,UN,,68,0,0,0,0
Bobinagem,412160,ESTATOR BOBINADO AGL DESL P24 2P 127V 60HZ,UNIDADE,UN,,274,0,0,0,0
Bobinagem,412065,ESTATOR BOBINADO AGL DESL P24 2P 220V 60HZ,UNIDADE,UN,,585,0,0,0,0
Bobinagem,412006,ESTATOR BOBINADO AGL DESL P28 1/4 cv 04 42Z 127V 60Hz,UNIDADE,UN,,64,0,0,0,0
Bobinagem,412146,ESTATOR BOBINADO AGL DESL P28 1/4 cv 04 42Z 220V 50HZ,UNIDADE,UN,,66,0,0,0,0
Bobinagem,412026,ESTATOR BOBINADO AGL DESL P28 1/4 cv 04 42Z 220V 60Hz,UNIDADE,UN,,56,0,0,0,0
Bobinagem,412148,ESTATOR BOBINADO AGL DESL P28 2P 127V 60HZ,UNIDADE,UN,,447,0,0,0,0
Bobinagem,412154,ESTATOR BOBINADO AGL DESL P28 2P 220V 60HZ,UNIDADE,UN,,109,0,0,0,0
Bobinagem,412101,ESTATOR BOBINADO AGL DESL P33 1/4 cv 04 42Z 127V 60Hz,UNIDADE,UN,,27,0,0,0,0
Bobinagem,412164,ESTATOR BOBINADO AGL DESL P33 1/4 cv 04 42Z 220V 50Hz,UNIDADE,UN,,472,0,0,0,0
Bobinagem,412064,ESTATOR BOBINADO AGL DESL P39 2P 127V 60HZ,UNIDADE,UN,,799,0,0,0,0
Bobinagem,412157,ESTATOR BOBINADO AGL DESL P39 2P 220V 60HZ,UNIDADE,UN,,177,0,0,0,0
Bobinagem,412159,ESTATOR BOBINADO AGL DESL P39 4P 3F 110V 60HZ,UNIDADE,UN,,125,0,0,0,0
Bobinagem,412187,ESTATOR BOBINADO AGL DESL P45 ROBO STRONG 1/2 cv 06 42Z 127V 50/60Hz 6P,UNIDADE,UN,,31,0,0,0,0
Bobinagem,412102,ESTATOR BOBINADO AGL DESL P45 ROBO STRONG 1/2 cv 06 42Z 220V 50/60Hz 6P,UNIDADE,UN,,99,0,0,0,0
Bobinagem,412040,ESTATOR BOBINADO AGL DESL P45 STRONG 1/2 cv 04 42Z 220V 50/60Hz,UNIDADE,UN,,228,0,0,0,0
